"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","2001","2017","Suicide Firearm","327248","5200918231","6.29","6.08780245204081"
"Both Sexes","All Races","United States","Both","All Ages","2001","2017","Suicide Firearm","327248","5200918231","6.29","."
