"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","2001","2017","Suicide Cut/pierce","11386","5200918231","0.22","0.210751306998"
"Both Sexes","All Races","United States","Both","All Ages","2001","2017","Suicide Cut/pierce","11386","5200918231","0.22","."
